facility_id,name,source_type,address,lat,lng
mmg_3986,금성장례식장,myeongmunga_facility,전북특별자치도전주시 덕진구가리내로 670(송천동2가),35.867803,127.1085521
mmg_4069,김제시 문화체육시설,myeongmunga_facility,"전북특별자치도김제시중앙로 40(서암동, 체육진흥과)",35.8033696,126.8805949
mmg_4066,김제시 벽골제,myeongmunga_facility,전북특별자치도김제시부량면벽골제로 442(부량면신용리),35.7529782,126.8524602
mmg_4068,김제시 보건소,myeongmunga_facility,전북특별자치도김제시성산길 138(요촌동),35.8007567,126.8833073
mmg_4067,김제시 주민자치센터,myeongmunga_facility,"전북특별자치도김제시중앙로 40(서암동, 행정지원과)",35.8034351,126.8805909
mmg_3937,뉴월드컴퓨터학원,myeongmunga_facility,전북특별자치도익산시부송1로 59(부송동),35.9577605,126.9886533
mmg_3482,다라이,myeongmunga_facility,전북특별자치도전주시 완산구관선4길 41층 (남노송동),35.8228334,127.1543065
mmg_3489,다비치안경 전주서신점,myeongmunga_facility,전북특별자치도전주시 완산구백제대로 438(서신동),35.8323756,127.123165
mmg_4006,다비치안경 전주중앙로웨딩거리점,myeongmunga_facility,전북특별자치도전주시 완산구충경로 48(중앙동3가),35.8176662,127.1444561
mmg_3486,다비치안경 전주평화사거리점,myeongmunga_facility,전북특별자치도전주시 완산구백제대로 6(평화동1가),35.7961723,127.1327997
mmg_1452,대한안과의사회 온누리안과,myeongmunga_facility,전북특별자치도전주시 완산구백제대로 325(중화산동2가),35.822116,127.122453
mmg_1172,대한안과의사회(군산 서울안과),myeongmunga_facility,전북특별자치도군산시수송로 42- 0(나운동),35.966772,126.700768
mmg_1238,대한안과의사회(전주 푸른안과),myeongmunga_facility,전북특별자치도전주시 덕진구백제대로 660(금암동),35.842884,127.141401
mmg_1253,덕유산휴양림,myeongmunga_facility,전북특별자치도무주군무풍면구천동로 530- 62(무풍면삼거리),35.877338,127.810535
mmg_3523,독립군,myeongmunga_facility,전북특별자치도전주시 완산구한두평1길 17- 51층 (중화산동2가),35.8126081,127.1248867
mmg_1258,동군산종합병원,myeongmunga_facility,전북특별자치도군산시조촌로 149(조촌동),35.977365,126.737095
mmg_2511,무주곤충박물관,myeongmunga_facility,전북특별자치도무주군설천면무설로 1324(설천면청량리),36.011114,127.758702
mmg_4080,무주군 머루와인동굴,myeongmunga_facility,전북특별자치도무주군적상면산성로 359(적상면북창리),35.9650206,127.6973406
mmg_3944,문경컴퓨터학원,myeongmunga_facility,전북특별자치도정읍시서부로 71(연지동),35.5741599,126.8480821
mmg_3938,문화컴퓨터학원,myeongmunga_facility,"전북특별자치도전주시 덕진구송천중앙로 141(송천동1가, 2층)",35.859465,127.1209239
mmg_3946,미르컴퓨터학원,myeongmunga_facility,"전북특별자치도전주시 덕진구정언신로 89(인후동1가, 3층)",35.8313192,127.1636715
mmg_1301,미소진치과의원,myeongmunga_facility,전북특별자치도전주시 덕진구안덕원로 259(인후동1가),35.836886,127.15539
mmg_3483,민원행정사사무소,myeongmunga_facility,전북특별자치도전주시 덕진구정여립로 1115511호(만성동),35.8486052,127.0835709
mmg_3942,민컴퓨터학원,myeongmunga_facility,전북특별자치도전주시 완산구당산로 40(서신동),35.8319834,127.112669
mmg_3479,바람의찻집,myeongmunga_facility,전북특별자치도전주시 완산구바람쐬는길 35- 19(교동),35.811096,127.1632959
mmg_1304,반디별천문과학관,myeongmunga_facility,전북특별자치도무주군설천면무설로 1324(설천면청량리),36.011114,127.758702
mmg_3019,백제치과의원,myeongmunga_facility,전북특별자치도전주시 완산구당산로 963층 (서신동),35.832,127.1186
mmg_2732,변산자연휴양림,myeongmunga_facility,전북특별자치도부안군변산면변산로 3768(변산면도청리),35.5819,126.5254
mmg_3941,세라컴퓨터코딩학원,myeongmunga_facility,"전북특별자치도전주시 덕진구견훤로 376- 1(우아동3가, 2층)",35.8448176,127.1536565
mmg_3492,세컨페이스 전주점,myeongmunga_facility,전북특별자치도전주시 완산구용머리로 62(효자동1가),35.8062576,127.1171415
mmg_1133,소노벨 변산,myeongmunga_facility,전북특별자치도부안군변산면변산해변로 51(변산면격포리),35.63171,126.470136
mmg_2508,수요양병원,myeongmunga_facility,전북특별자치도익산시중앙로1길 23(창인동1가),35.94169,126.948725
mmg_3243,순창군 군립공원,myeongmunga_facility,전북특별자치도순창군팔덕면강천산길 97(팔덕면청계리),35.4042,127.0491
mmg_3246,순창군승마장,myeongmunga_facility,전북특별자치도순창군팔덕면신촌길 238(팔덕면구룡리),35.3658,127.1084
mmg_3247,순창군작은목욕탕,myeongmunga_facility,전북특별자치도순창군팔덕면강천로 352(팔덕면용산리),35.3929171,127.0953992
mmg_3244,순창발효테마파크,myeongmunga_facility,전북특별자치도순창군순창읍장류로 55(순창읍백산리),35.3677,127.1116
mmg_4010,쉴랜드,myeongmunga_facility,전북특별자치도순창군인계면인덕로 427- 128(인계면쌍암리),35.4323,127.1318
mmg_2505,스마트치과병원,myeongmunga_facility,전북특별자치도전주시 덕진구만성중앙로 45201호(만성동),35.838434,127.078667
mmg_3742,신라스테이 전주,myeongmunga_facility,전북특별자치도전주시 완산구현무1길 10(경원동3가),35.8196908,127.1485428
mmg_2735,신시도자연휴양림,myeongmunga_facility,전북특별자치도군산시옥도면신시도길 271(옥도면신시도리),35.8292,126.4442
mmg_4073,아리랑스키,myeongmunga_facility,전북특별자치도무주군설천면만선로 3(설천면심곡리),35.9106231,127.759032
mmg_3939,아이티컴퓨터전문학원,myeongmunga_facility,전북특별자치도전주시 덕진구혁신로 705(반월동),35.8748085,127.0748864
mmg_2504,아중요양병원,myeongmunga_facility,전북특별자치도전주시 덕진구아중로 223(우아동2가),35.82916,127.17353
mmg_3488,안경나라 마전점,myeongmunga_facility,전북특별자치도전주시 완산구홍산로 3711층 (효자동3가),35.8269149,127.1056227
mmg_3496,안경진정성 전주인후점,myeongmunga_facility,전북특별자치도전주시 덕진구가재미로 97102호1층 (인후동1가),35.8335009,127.1603384
mmg_2623,에스한의원-익산,myeongmunga_facility,전북특별자치도익산시무왕로 10382층 (영등동),35.9581,126.9721
mmg_3497,엔젤아이안경원,myeongmunga_facility,전북특별자치도전주시 덕진구심방죽6길 8(인후동2가),35.8411026,127.1507157
mmg_2503,연세유펜치과,myeongmunga_facility,전북특별자치도전주시 완산구마전들로 55(효자동3가),35.821218,127.101433
mmg_2502,열정치과,myeongmunga_facility,"전북특별자치도전주시 완산구홍산로 260- 0(효자동3가, 엠스퀘어)",35.814212,127.106894
mmg_1451,온고을장례식장,myeongmunga_facility,전북특별자치도전주시 덕진구온고을로 438- 2(만성동),35.846662,127.082034
mmg_1468,운장산휴양림,myeongmunga_facility,전북특별자치도진안군정천면휴양림길 77(정천면갈용리),35.893523,127.428027
mmg_1472,원광대학교 의과대학병원,myeongmunga_facility,전북특별자치도익산시무왕로 895(신동),35.96827,126.958595
mmg_2509,원치과,myeongmunga_facility,전북특별자치도익산시무왕로 11573층 (어양동),35.959428,126.985372
mmg_3940,유일컴퓨터학원,myeongmunga_facility,"전북특별자치도전주시 덕진구안덕원로 256(인후동1가, 2층)",35.8363544,127.1549509
mmg_3932,이지컴퓨터학원,myeongmunga_facility,"전북특별자치도군산시백토로 229(지곡동, 3층)",35.9586229,126.7046056
mmg_1490,익산병원,myeongmunga_facility,전북특별자치도익산시무왕로 969(신동),35.961683,126.966472
mmg_1491,익산보석박물관,myeongmunga_facility,"전북특별자치도익산시왕궁면호반로 8(왕궁면동용리, 보석박물관)",35.990392,127.101468
mmg_4078,익산시 국민생활관,myeongmunga_facility,전북특별자치도익산시선화로 255(남중동),35.9454596,126.9588571
mmg_4079,익산시 보건소,myeongmunga_facility,전북특별자치도익산시무왕로 975(신동),35.9610496,126.9664558
mmg_3499,일공공일안경 인후점,myeongmunga_facility,전북특별자치도전주시 덕진구안덕원로 256(인후동1가),35.8363544,127.1549509
mmg_2239,일이삼한방병원,myeongmunga_facility,"전북특별자치도전주시 덕진구동부대로 803(호성동1가, 일이삼한방병원 3층, 4층)",35.859269,127.153894
mmg_2063,전라북도 남원의료원,myeongmunga_facility,전북특별자치도남원시충정로 365(고죽동),35.43263,127.408386
mmg_3192,전북대학교병원,myeongmunga_facility,"전북특별자치도전주시 덕진구건지로 20(덕진동1가, 전북대학교병원)",35.8471,127.1408
mmg_1508,전북현대모터스,myeongmunga_facility,전북특별자치도전주시 덕진구기린대로 1055(반월동),35.868057,127.064519
mmg_1511,전주경기전,myeongmunga_facility,전북특별자치도전주시 완산구태조로 44(풍남동3가),35.815315,127.149757
mmg_1512,전주고려병원,myeongmunga_facility,전북특별자치도전주시 덕진구안덕원로 367(산정동),35.839967,127.167191
mmg_1513,전주동물원,myeongmunga_facility,전북특별자치도전주시 덕진구소리로 68(덕진동1가),35.856116,127.144674
mmg_1514,전주병원,myeongmunga_facility,전북특별자치도전주시 완산구한두평3길 13(중화산동2가),35.81532,127.124753
